
Processing printEtaScale.C...
-124 0.939147 0.00138672
-123 0.915103 0.000860769
-122 0.914072 0.000910738
-121 0.910377 0.000800257
-120 0.928321 0.000863994
-119 0.953976 0.00086445
-118 0.979334 0.000804594
-117 0.980096 0.000811312
-116 0.981228 0.00067819
-115 0.980989 0.000768057
-114 0.986447 0.000773229
-113 0.98571 0.000779828
-112 0.984319 0.000773733
-111 0.988138 0.000779761
-110 0.991208 0.000830653
-109 0.991522 0.000786798
-108 0.992916 0.000845905
-107 0.991145 0.000817913
-106 0.988397 0.000819976
-105 0.992152 0.000875472
-104 0.990896 0.000849067
-103 0.99534 0.000909254
-102 0.995155 0.000865005
-101 0.993971 0.000895249
-100 0.997309 0.00090603
-99 0.991937 0.000909718
-98 0.996275 0.000950284
-97 0.994078 0.000940076
-96 0.998419 0.000989238
-95 0.999958 0.000954614
-94 1.00244 0.00105508
-93 1.00387 0.000962537
-92 1.00564 0.00104986
-91 1.00227 0.00104615
-90 1.00566 0.0011001
-89 1.00012 0.00112169
-88 0.99901 0.00134217
-87 0.967126 0.00186975
-86 0.984307 0.00377927
-85 0.987719 0.00162536
-84 0.988139 0.00114193
-83 1.00286 0.00109129
-82 0.997338 0.00113148
-81 0.998102 0.00108625
-80 1.00057 0.00110304
-79 0.999789 0.00109183
-78 0.996878 0.00105219
-77 0.997205 0.00104736
-76 0.999903 0.00105184
-75 0.998617 0.00106238
-74 0.996408 0.00103915
-73 1.00196 0.00107499
-72 0.999619 0.0010244
-71 0.998546 0.00101512
-70 1.0012 0.00106505
-69 1.00284 0.00104785
-68 0.998371 0.00103947
-67 0.998421 0.000993292
-66 1.00054 0.000999608
-65 1.00034 0.00107454
-64 0.997527 0.00100153
-63 0.998823 0.000992609
-62 0.998648 0.000981928
-61 0.995413 0.0009477
-60 0.995192 0.000943721
-59 0.996772 0.000970837
-58 0.995457 0.000967526
-57 0.994127 0.000960444
-56 0.994064 0.000961699
-55 0.992173 0.000960395
-54 0.99358 0.000996003
-53 0.990248 0.000942817
-52 0.991434 0.000943512
-51 0.992687 0.000931477
-50 0.99287 0.000935364
-49 0.99405 0.000912604
-48 0.994742 0.000926649
-47 0.994057 0.000935175
-46 0.991472 0.00086796
-45 0.995049 0.000939901
-44 0.994985 0.0009299
-43 0.993627 0.000896632
-42 0.995825 0.000903937
-41 0.992757 0.000916981
-40 0.996717 0.000935275
-39 0.994215 0.000900638
-38 0.994126 0.000908663
-37 0.995948 0.000891649
-36 0.99553 0.00089809
-35 0.993462 0.000887194
-34 0.992208 0.00089168
-33 0.99401 0.00091684
-32 0.992898 0.000886767
-31 0.996308 0.000914369
-30 0.993536 0.000901081
-29 0.995797 0.000912025
-28 0.995616 0.000899617
-27 0.995928 0.000893762
-26 0.992305 0.000885314
-25 0.994116 0.00092602
-24 0.994458 0.000901864
-23 0.99398 0.000893807
-22 0.993465 0.000890064
-21 0.99431 0.000902654
-20 0.992989 0.000872923
-19 0.994364 0.000889805
-18 0.994015 0.000908339
-17 0.99485 0.000882755
-16 0.994109 0.000908049
-15 0.996779 0.000876473
-14 0.996481 0.000889172
-13 0.996677 0.000886524
-12 0.994918 0.000878195
-11 0.995698 0.000889636
-10 0.996808 0.000889968
-9 0.9948 0.000898379
-8 0.994989 0.000890438
-7 0.994504 0.000873864
-6 0.995726 0.000906656
-5 0.992805 0.000862439
-4 0.99253 0.000885528
-3 0.994522 0.000862433
-2 0.993678 0.000891495
-1 0.992359 0.000883515
1 0.994962 0.000882399
2 0.994362 0.000873395
3 0.993692 0.000863139
4 0.994815 0.00086202
5 0.992522 0.000859372
6 0.993288 0.000884758
7 0.991894 0.000879152
8 0.99215 0.000901241
9 0.993667 0.000874407
10 0.992515 0.000871013
11 0.99216 0.000882686
12 0.992903 0.000865367
13 0.993405 0.000875043
14 0.994894 0.000892217
15 0.992981 0.000884682
16 0.99239 0.000872485
17 0.994043 0.000885426
18 0.992545 0.000895155
19 0.995674 0.000874693
20 0.991883 0.000922521
21 0.994564 0.000876802
22 0.995194 0.00087352
23 0.992745 0.000867523
24 0.992736 0.000871646
25 0.992968 0.000931715
26 0.992038 0.000906263
27 0.995138 0.00089154
28 0.995529 0.000897835
29 0.994732 0.000890169
30 0.994922 0.000879462
31 0.991636 0.000882249
32 0.992892 0.000876809
33 0.994911 0.000897773
34 0.994229 0.00089041
35 0.995496 0.000904491
36 0.993225 0.000914832
37 0.995669 0.000889154
38 0.99509 0.000899464
39 0.996123 0.00091342
40 0.995808 0.000916711
41 0.995041 0.000915289
42 0.995295 0.000908698
43 0.995512 0.000922506
44 0.993105 0.00092745
45 0.994928 0.000941943
46 0.990714 0.000873709
47 0.992629 0.000912766
48 0.99188 0.000898355
49 0.994352 0.000924307
50 0.994585 0.000937731
51 0.992767 0.000951416
52 0.993817 0.000957289
53 0.992848 0.000949681
54 0.995003 0.00094067
55 0.994074 0.000940405
56 0.994502 0.000947096
57 0.994562 0.000966504
58 0.995592 0.00094367
59 0.996286 0.000952022
60 0.998634 0.000968357
61 0.998911 0.0010182
62 1.00081 0.000997987
63 0.998549 0.000999656
64 0.999875 0.00106311
65 1.00146 0.00105043
66 1.00138 0.00101046
67 0.999279 0.000988075
68 1.00395 0.00102894
69 1.00272 0.00102861
70 1.0027 0.00108783
71 1.00197 0.00107974
72 0.997993 0.00104248
73 1.00031 0.00104506
74 1.00111 0.00108931
75 1.00101 0.00105522
76 0.999636 0.00105108
77 0.996237 0.00105236
78 0.996606 0.00103407
79 0.999648 0.00106741
80 1.00239 0.00109615
81 0.996881 0.00111114
82 0.999584 0.00113291
83 1.00581 0.00111683
84 0.988159 0.00114871
85 0.982589 0.00165631
86 0.997423 0.00361744
87 0.969007 0.00207007
88 0.993463 0.00135055
89 1.00028 0.00112288
90 1.00308 0.00110913
91 0.999169 0.00106379
92 1.00265 0.00105196
93 0.998242 0.00101911
94 0.996712 0.00107484
95 0.994015 0.000984035
96 0.997091 0.0010303
97 0.994755 0.000974412
98 0.993934 0.000962437
99 0.996862 0.000926082
100 0.994999 0.000901485
101 0.992439 0.000891852
102 0.991005 0.000856832
103 0.993827 0.000920803
104 0.993989 0.000828057
105 0.99444 0.000835415
106 0.990305 0.000805891
107 0.993102 0.000809241
108 0.988226 0.000825156
109 0.987493 0.000760929
110 0.990666 0.000811965
111 0.987494 0.000774848
112 0.987338 0.000763645
113 0.982853 0.000747562
114 0.983853 0.000750354
115 0.982974 0.000757186
116 0.983432 0.000692726
117 0.986397 0.00084376
118 0.996011 0.000822212
119 0.963686 0.000867582
120 0.947583 0.000859986
121 0.954397 0.000879083
122 0.938372 0.000921556
123 0.938626 0.000921857
124 0.929525 0.00148311
