
Processing printEtaScale.C...
-124 0.959015 0.0015765
-123 0.91126 0.000926334
-122 0.918535 0.000896501
-121 0.921126 0.000737027
-120 0.93784 0.000778284
-119 0.964385 0.000770567
-118 0.982528 0.000739723
-117 0.984556 0.000729898
-116 0.987035 0.000619229
-115 0.982535 0.000701933
-114 0.986719 0.000693014
-113 0.989504 0.000701926
-112 0.986409 0.000706303
-111 0.988326 0.000696115
-110 0.993185 0.000739607
-109 0.988333 0.000692424
-108 0.987101 0.000773773
-107 0.993201 0.00075279
-106 0.99224 0.00072832
-105 0.992441 0.000758491
-104 0.990714 0.000739756
-103 0.995142 0.000813377
-102 0.993144 0.000781859
-101 0.989861 0.000789405
-100 0.990197 0.000795836
-99 0.989886 0.000815593
-98 0.99459 0.000837723
-97 0.99738 0.000848737
-96 1.00187 0.00088259
-95 0.999497 0.000854359
-94 0.99921 0.000912312
-93 1.00173 0.000878766
-92 1.00272 0.000939213
-91 1.00073 0.000928284
-90 1.00322 0.000971731
-89 0.995928 0.000947202
-88 0.997921 0.00115302
-87 0.959156 0.00167742
-86 0.980014 0.00274155
-85 0.986204 0.00153693
-84 0.991868 0.00103763
-83 1.00368 0.000977203
-82 1.00126 0.000999163
-81 1.00207 0.00100097
-80 1.00067 0.000977167
-79 0.996355 0.000930086
-78 0.995972 0.000921234
-77 0.999203 0.000932731
-76 0.996879 0.00094703
-75 0.99825 0.000935713
-74 0.996591 0.000958723
-73 1.00066 0.000930102
-72 0.99932 0.000928923
-71 1.00031 0.000918416
-70 1.00341 0.000931461
-69 1.0038 0.000937135
-68 0.999744 0.000925699
-67 0.999568 0.000890324
-66 0.998905 0.000875283
-65 0.998651 0.000913473
-64 0.997001 0.00087015
-63 0.998026 0.000894639
-62 0.997319 0.000883976
-61 0.997178 0.00084252
-60 0.995168 0.000867311
-59 0.995419 0.000840174
-58 0.992182 0.000841891
-57 0.995772 0.000848531
-56 0.993784 0.000827582
-55 0.992749 0.000849662
-54 0.99197 0.000841457
-53 0.992185 0.000850787
-52 0.992802 0.00085269
-51 0.993399 0.000826495
-50 0.993047 0.000831071
-49 0.993395 0.000813804
-48 0.993263 0.000807996
-47 0.990261 0.000807143
-46 0.991723 0.000776318
-45 0.994129 0.0008686
-44 0.993772 0.000818962
-43 0.994472 0.000828537
-42 0.994466 0.000811942
-41 0.99529 0.000817453
-40 0.997234 0.000813512
-39 0.994224 0.000788141
-38 0.993689 0.000797614
-37 0.994078 0.00079598
-36 0.995185 0.000797374
-35 0.992136 0.000797372
-34 0.994362 0.000801457
-33 0.993396 0.000788224
-32 0.991833 0.000803295
-31 0.995592 0.000792765
-30 0.993895 0.000793503
-29 0.99254 0.000802839
-28 0.99301 0.000811068
-27 0.995235 0.000808264
-26 0.992127 0.000774457
-25 0.994829 0.00081024
-24 0.995159 0.000797802
-23 0.99458 0.000776043
-22 0.993127 0.000783124
-21 0.994258 0.000790605
-20 0.994896 0.000802212
-19 0.994313 0.000791389
-18 0.996248 0.000789862
-17 0.995126 0.000773854
-16 0.993957 0.000768047
-15 0.99436 0.000787504
-14 0.996244 0.000766782
-13 0.995976 0.000804424
-12 0.995387 0.000780417
-11 0.995415 0.00078014
-10 0.995705 0.000795858
-9 0.994948 0.000783893
-8 0.996286 0.000791655
-7 0.994675 0.000783381
-6 0.996392 0.000784702
-5 0.994113 0.000766316
-4 0.996312 0.000759063
-3 0.994664 0.000761436
-2 0.995104 0.000764237
-1 0.992987 0.00077925
1 0.993998 0.000775614
2 0.993745 0.000752715
3 0.993929 0.000752178
4 0.991644 0.000756477
5 0.993338 0.000770108
6 0.992699 0.000777123
7 0.993287 0.000770207
8 0.995771 0.000774846
9 0.994314 0.00078764
10 0.992559 0.000774351
11 0.994634 0.00076144
12 0.991952 0.000768706
13 0.994799 0.000769805
14 0.994226 0.000766491
15 0.993969 0.000779857
16 0.993938 0.000774983
17 0.994611 0.000788166
18 0.993782 0.00077584
19 0.994683 0.0007668
20 0.992897 0.000779958
21 0.994952 0.000773805
22 0.994452 0.000771694
23 0.994951 0.000800859
24 0.994934 0.000774966
25 0.991797 0.000803356
26 0.991882 0.000774901
27 0.994244 0.000794122
28 0.993635 0.000781891
29 0.994838 0.00079211
30 0.996355 0.000797384
31 0.994247 0.00079812
32 0.994957 0.000778734
33 0.993906 0.000780543
34 0.994969 0.000785212
35 0.994425 0.000796136
36 0.996156 0.000800978
37 0.995552 0.000792725
38 0.995125 0.000782343
39 0.99623 0.000799857
40 0.996734 0.000795425
41 0.99334 0.000819769
42 0.99458 0.000796813
43 0.993497 0.000806606
44 0.993844 0.000798555
45 0.994435 0.000841109
46 0.992361 0.000793539
47 0.993387 0.000798279
48 0.99491 0.000820539
49 0.995409 0.000810285
50 0.993279 0.000808647
51 0.995017 0.000837763
52 0.996527 0.000858235
53 0.995917 0.000843728
54 0.99667 0.000828889
55 0.995665 0.000851542
56 0.997043 0.00083261
57 0.991134 0.000846161
58 0.994814 0.000827775
59 0.996874 0.000840161
