
Processing printEtaScale.C...
-124 0.955444 0.0042048
-123 0.910113 0.00178996
-122 0.907772 0.00139898
-121 0.920184 0.00100783
-120 0.939987 0.000831298
-119 0.952269 0.000786822
-118 0.981111 0.000735026
-117 0.98717 0.000729464
-116 0.985387 0.000622097
-115 0.98349 0.000702618
-114 0.986192 0.000695415
-113 0.984984 0.000696636
-112 0.985095 0.000713376
-111 0.985874 0.000700076
-110 0.986409 0.000724601
-109 0.988009 0.000705138
-108 0.989492 0.000739753
-107 0.988287 0.00074389
-106 0.989774 0.000728462
-105 0.989551 0.000753995
-104 0.994027 0.000737064
-103 0.995184 0.000799181
-102 0.993313 0.000761914
-101 0.991562 0.000779612
-100 0.990886 0.000788992
-99 0.992935 0.000835754
-98 0.995487 0.000835683
-97 0.996804 0.000830082
-96 0.997031 0.00088408
-95 0.997885 0.000843929
-94 0.997472 0.000905278
-93 0.998204 0.00089527
-92 1.00267 0.000914113
-91 1.00034 0.000919385
-90 1.00221 0.000939056
-89 1.00157 0.000960266
-88 0.990416 0.00114629
-87 0.939395 0.00163874
-86 0.952182 0.00267672
-85 0.974498 0.00144331
-84 0.9779 0.00102383
-83 1.00948 0.000987392
-82 1.00143 0.000954487
-81 1.00054 0.000961079
-80 1.00039 0.000980268
-79 1.00038 0.0009306
-78 0.999396 0.000932508
-77 0.999018 0.000929034
-76 0.998602 0.000939219
-75 1.00149 0.00092073
-74 1.00156 0.000915107
-73 1.00329 0.000919307
-72 1.00002 0.000944981
-71 1.0029 0.000899348
-70 1.00299 0.000914287
-69 1.00616 0.000929716
-68 1.0038 0.000896787
-67 1.00237 0.000892686
-66 0.996832 0.000851464
-65 1.00466 0.000885371
-64 0.999817 0.000853186
-63 1 0.000867378
-62 0.997804 0.000875029
-61 0.997213 0.000844833
-60 0.995564 0.000833826
-59 0.994362 0.000825708
-58 0.9932 0.000834756
-57 0.997153 0.000844274
-56 0.994644 0.000820774
-55 0.992445 0.000874697
-54 0.995256 0.000835148
-53 0.994111 0.000832739
-52 0.994676 0.000816611
-51 0.992268 0.000815635
-50 0.992135 0.000799415
-49 0.992975 0.000800495
-48 0.993828 0.000815225
-47 0.990036 0.000788953
-46 0.993015 0.000779022
